Nombre de bornes disponibles;Nombre vélo en PARK+;Nombres de bornes en station;PARK + activation;densityLevel;Achat possible en station (CB);Description station;maxBikeOverflow;Etat du Totem;nbFreeDock;Nombre de vélo mécanique;PARK +;nbDock;Nombre vélo électrique;Nombre vélo en PARK+;Code de la station;Nom de la station;Etat des stations;Type de stations;geo;duedate
13;0;16;no;1;no;"{""code"": ""15068"", ""name"": ""Général Martial Valin - Pont du Garigliano"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1564347600, ""gps"": {""latitude"": 48.83823094269141, ""longitude"": 2.270506024360657}}";0;yes;0;1;no;0;2;0;15068;Général Martial Valin - Pont du Garigliano;Operative;yes;6860045.09172,646456.188559;2019-07-28
0;0;0;no;1;no;"{""code"": ""42027"", ""name"": ""Verdun - Pierre et Marie Curie"", ""state"": ""Work in progress"", ""type"": ""no"", ""dueDate"": 1575108393, ""gps"": {""latitude"": 48.812909, ""longitude"": 2.370697}}";0;no;1;0;no;1;0;0;42027;Verdun - Pierre et Marie Curie;Work in progress;no;6857166.31225,653787.455304;2019-11-30
15;0;22;no;0;no;"{""code"": ""22207"", ""name"": ""Rond-point du Dr Albert Schweitzer"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1553494200, ""gps"": {""latitude"": 48.78980918988166, ""longitude"": 2.3143940046429634}}";0;yes;0;0;no;0;7;0;22207;Rond-point du Dr Albert Schweitzer;Operative;yes;6854632.37706,649630.672387;2019-03-25
38;0;41;no;1;yes;"{""code"": ""18015"", ""name"": ""Custine - Ramey"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1555711200, ""gps"": {""latitude"": 48.888735896947054, ""longitude"": 2.3469526693224907}}";39;yes;1;1;no;1;1;0;18015;Custine - Ramey;Operative;yes;6865611.71201,652113.572444;2019-04-19
14;0;33;no;1;yes;"{""code"": ""8050"", ""name"": ""Boétie - Ponthieu"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1562882400, ""gps"": {""latitude"": 48.871417284354834, ""longitude"": 2.307678759098053}}";0;yes;0;11;no;0;8;0;8050;Boétie - Ponthieu;Operative;yes;6863710.53542,649216.895984;2019-07-11
14;0;24;no;1;no;"{""code"": ""92002"", ""name"": ""Théâtre des Amandiers - Palais des sports"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1551679800, ""gps"": {""latitude"": 48.89264852683893, ""longitude"": 2.2136941552162175}}";0;yes;0;3;no;0;7;0;92002;Théâtre des Amandiers - Palais des sports;Operative;yes;6866135.82791,642346.666508;2019-03-04
25;0;26;no;1;yes;"{""code"": ""6029"", ""name"": ""Vaugirard - Monsieur le Prince"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1564347600, ""gps"": {""latitude"": 48.848951441614176, ""longitude"": 2.3411329463124275}}";0;yes;0;1;no;0;0;0;6029;Vaugirard - Monsieur le Prince;Operative;yes;6861191.52905,651649.922999;2019-07-28
23;0;26;no;1;no;"{""code"": ""20035"", ""name"": ""Pyrénées - Ménilmontant"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1522321200, ""gps"": {""latitude"": 48.8693268535238, ""longitude"": 2.395084574818611}}";26;yes;0;1;no;0;2;0;20035;Pyrénées - Ménilmontant;Operative;yes;6863425.42899,655626.36666;2018-03-29
26;0;40;no;1;no;"{""code"": ""2017"", ""name"": ""Caire - Dussoubs"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1517356800, ""gps"": {""latitude"": 48.86785342111862, ""longitude"": 2.349364310503006}}";32;yes;1;4;no;1;10;0;2017;Caire - Dussoubs;Operative;yes;6863288.25827,652271.2752;2018-01-31
16;0;17;no;1;no;"{""code"": ""9008"", ""name"": ""Tour d'Auvergne - Rodier"", ""state"": ""Operative"", ""type"": ""yes"", ""dueDate"": 1529660659, ""gps"": {""latitude"": 48.879161, ""longitude"": 2.343698}}";0;yes;0;0;no;0;1;0;9008;Tour d'Auvergne - Rodier;Operative;yes;6864549.02033,651866.071381;2018-06-22
